Site,sitetype,Scientific name,Present,Common Name
L,Scrub,Falco sparverius,1,American Kestrel
M,Garden,Falco sparverius,0,American Kestrel
N,Garden,Falco sparverius,0,American Kestrel
O,Garden,Falco sparverius,0,American Kestrel
P,Forest,Falco sparverius,0,American Kestrel
Q,Garden,Falco sparverius,0,American Kestrel
R,Garden,Falco sparverius,0,American Kestrel
S,Scrub,Falco sparverius,0,American Kestrel
T,Forest,Falco sparverius,0,American Kestrel
U,Garden,Falco sparverius,0,American Kestrel
V,Garden,Falco sparverius,0,American Kestrel
X,Garden,Falco sparverius,0,American Kestrel
Y,Garden,Falco sparverius,0,American Kestrel
Z,Scrub,Falco sparverius,1,American Kestrel
AA,Garden,Falco sparverius,0,American Kestrel
BB,Scrub,Falco sparverius,0,American Kestrel
CC,Garden,Falco sparverius,0,American Kestrel
DD,Garden,Falco sparverius,0,American Kestrel
EE,Scrub,Falco sparverius,1,American Kestrel
FF,Garden,Falco sparverius,0,American Kestrel
A,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
B,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
C,Forest,Geranoaetus albicaudatus,0,White-tailed Hawk
D,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
E,Scrub,Geranoaetus albicaudatus,0,White-tailed Hawk
F,Scrub,Geranoaetus albicaudatus,0,White-tailed Hawk
G,Forest,Geranoaetus albicaudatus,0,White-tailed Hawk
H,Forest,Geranoaetus albicaudatus,0,White-tailed Hawk
I,Forest,Geranoaetus albicaudatus,0,White-tailed Hawk
J,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
K,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
L,Scrub,Geranoaetus albicaudatus,0,White-tailed Hawk
M,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
N,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
O,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
P,Forest,Geranoaetus albicaudatus,0,White-tailed Hawk
Q,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
R,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
S,Scrub,Geranoaetus albicaudatus,0,White-tailed Hawk
T,Forest,Geranoaetus albicaudatus,0,White-tailed Hawk
U,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
V,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
X,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
Y,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
